gene_symbol,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significant
FAM111B,ENSG00000189057,164.5368200157412,5.191896669799806,0.563747528768678,9.209613177621915,3.273022821085555e-20,1.77969394619355e-17,Upregulated
AURKB,ENSG00000178999,206.5893765028255,5.627963769718118,0.6122918192973148,9.1916363935369,3.869099639770345e-20,2.0728701320069623e-17,Upregulated
NR5A2,ENSG00000116833,83.45747951120593,4.738698546221606,0.5158588113755439,9.186037810589701,4.07577915281824e-20,2.151952323424946e-17,Upregulated
SCARNA6,ENSG00000251791,2158.9654831276102,9.81468684665506,1.071053516488872,9.163582113832716,5.0202576132525257e-20,2.6127572158343253e-17,Upregulated
AC104619.3,ENSG00000250144,109.36413829378641,6.182694619302785,0.6767325427712285,9.13609768784662,6.474655167368544e-20,3.322227639470471e-17,Upregulated
H2BC11,ENSG00000124635,1258.6897771913075,6.4462038631585035,0.7061756054744539,9.12832985618008,6.956414426882349e-20,3.519849083135428e-17,Upregulated
RN7SL1,ENSG00000276168,1242216.1441949192,9.265643488737608,1.018788346018419,9.094767843536061,9.478875894555011e-20,4.730478461842926e-17,Upregulated
H3C10,ENSG00000278828,1391.7073562912437,8.220784019074193,0.906730155456892,9.066406327836118,1.2300706852059958e-19,6.055770963883735e-17,Upregulated
CDC25C,ENSG00000158402,126.1362187498432,4.764420124416827,0.5256458477105743,9.063935623515404,1.2582668766175966e-19,6.111989410940754e-17,Upregulated
ESCO2,ENSG00000171320,176.3246023835901,4.744375091779382,0.5237121297649371,9.059127757664973,1.3149784633262704e-19,6.303418473347284e-17,Upregulated
SINHCAF,ENSG00000139146,430.5224476449117,3.1423416630951806,0.348216054357442,9.024114838397377,1.8115391647356686e-19,8.570932897465603e-17,Upregulated
CDC45,ENSG00000093009,186.54948307485498,4.9093751049611845,0.5444373484988172,9.017337106827547,1.9271665913216574e-19,9.001103344671704e-17,Upregulated
EEF1A1P19,ENSG00000249855,210.29875285964795,3.339686505923666,0.3704563944166643,9.015059683832622,1.9676329327394038e-19,9.073776629446737e-17,Upregulated
RPS7P1,ENSG00000263266,434.5183301193395,3.8603881536275466,0.42929841216325465,8.992318732731555,2.4206852795476357e-19,1.1023498177399989e-16,Upregulated
AURKA,ENSG00000087586,382.2019542701864,2.918023231437643,0.32623528877934727,8.944535835947777,3.735161647386563e-19,1.679946592295554e-16,Upregulated
H2AC20,ENSG00000184260,1278.9128308459535,8.266370408353081,0.9268599765427836,8.918683099454677,4.718654844517704e-19,2.0964062761051764e-16,Upregulated
SHOX2,ENSG00000168779,223.29089659873244,7.766896758068095,0.8711398693452568,8.915786122733248,4.843676129058982e-19,2.1181947979206643e-16,Upregulated
PRDM2,ENSG00000116731,4350.064774641318,-1.6637028280089738,0.18662114239460637,-8.91486787971274,4.883982405790008e-19,2.1181947979206643e-16,Downregulated
MSR1,ENSG00000038945,2103.289159404335,3.7328168560547113,0.41925153928446685,8.903525703031358,5.410023833406736e-19,2.318736214998127e-16,Upregulated
CENPA,ENSG00000115163,85.3305363224254,4.7605406564665405,0.5355602152938175,8.888898989359818,6.171740299240085e-19,2.6144496609490177e-16,Upregulated
RN7SL396P,ENSG00000244642,1144.9833638746406,10.539741381276901,1.1865460108831247,8.88270769494422,6.525226194243422e-19,2.73241971818945e-16,Upregulated
RAB42,ENSG00000188060,157.2225619761466,3.9901876597455757,0.45081532305571687,8.85104710438696,8.67019527747633e-19,3.5893623199288654e-16,Upregulated
H1-2,ENSG00000187837,4960.75640651288,5.166231271471519,0.5848225902190275,8.83384355849979,1.0113907332064902e-18,4.099403633249163e-16,Upregulated
MIR924HG,ENSG00000267374,72.85075136300935,4.152757158310721,0.4701041502821231,8.83369601357174,1.0127263237144867e-18,4.099403633249163e-16,Upregulated
MCM10,ENSG00000065328,154.23277705056074,4.427840386256619,0.5013270394826109,8.832239311939615,1.026006374780812e-18,4.107520685674699e-16,Upregulated
KIF18A,ENSG00000121621,167.4169425610126,4.427731053978705,0.5027975214894644,8.806191090326372,1.2947024870055687e-18,5.126881120010856e-16,Upregulated
RN7SL752P,ENSG00000239437,1277.324110984573,11.102158978879004,1.2661159810056537,8.768674549120496,1.8078175254583534e-18,7.081784975265944e-16,Upregulated
ORC1,ENSG00000085840,138.71279935570084,3.7337129366428083,0.4263824550476584,8.756722732002368,2.0100930875837706e-18,7.790393752528122e-16,Upregulated
SCARNA7,ENSG00000238741,2544.016735444949,8.181116713911322,0.93813119239788,8.720653124218419,2.7660160240933698e-18,1.0607234713025849e-15,Upregulated
CDCA2,ENSG00000184661,179.55727653075954,5.5880683366932775,0.6409936665936795,8.717821451168108,2.836057226044297e-18,1.0762541750210392e-15,Upregulated
ASF1B,ENSG00000105011,220.98087748096827,4.309133911541493,0.4948792738384299,8.707444702863745,3.108017602012463e-18,1.1673009201950108e-15,Upregulated
CEP55,ENSG00000138180,117.53715960129193,4.289290235052473,0.4930501645559801,8.69950066625619,3.333476983839975e-18,1.2392030612068788e-15,Upregulated
H2AC4,ENSG00000278463,740.4006415359701,9.237028543403932,1.0649946968741186,8.673309426343312,4.197393468842033e-18,1.5445983986200417e-15,Upregulated
TROAP,ENSG00000135451,192.45447295604714,5.274502879726647,0.6092220722278481,8.657767208660804,4.81094779464454e-18,1.7526763910669525e-15,Upregulated
